vehicle_id,test_case,timestamp,engine_rpm,coolant_temperature,oil_pressure,battery_voltage,vibration,vehicle_speed,failure_label
VH-1001,TC01,2026-09-09T09:00:00,1800,94,2.8,13.8,2.8,60,0
VH-1001,TC01,2026-09-09T10:00:00,2000,95,2.7,13.7,3.0,70,0
VH-1001,TC01,2026-09-09T11:00:00,2100,96,2.7,13.8,3.1,72,0
VH-1002,TC02,2026-09-07T09:00:00,2200,98,2.1,13.6,5.2,70,1
VH-1002,TC02,2026-09-08T09:00:00,2300,103,1.8,13.4,6.7,72,1
VH-1002,TC02,2026-09-09T09:00:00,2400,108,1.3,13.3,8.2,70,1
VH-1003,TC03,2026-09-07T12:00:00,2000,101,2.5,13.7,3.4,65,1
VH-1003,TC03,2026-09-08T12:00:00,2050,107,2.4,13.7,3.6,64,1
VH-1003,TC03,2026-09-09T12:00:00,2100,114,2.3,13.6,3.8,63,1
VH-1004,TC04,2026-09-07T08:00:00,1900,93,2.8,12.2,3.0,60,0
VH-1004,TC04,2026-09-08T08:00:00,1900,94,2.7,11.9,3.1,60,0
VH-1004,TC04,2026-09-09T08:00:00,1950,94,2.7,11.7,3.0,61,0
VH-1005,TC05,2026-09-07T14:00:00,2000,94,2.7,13.7,3.0,65,0
VH-1005,TC05,2026-09-08T14:00:00,2050,95,0.2,13.7,3.1,66,0
VH-1005,TC05,2026-09-09T14:00:00,2050,95,2.6,13.7,3.1,66,0
VH-1006,TC06,2026-09-07T16:00:00,2500,104,1.9,12.9,6.0,80,1
VH-1006,TC06,2026-09-08T16:00:00,2550,110,1.5,12.8,7.2,82,1
VH-1006,TC06,2026-09-09T16:00:00,2600,116,1.2,12.7,9.0,81,1
